Fecha;17/01/2025 14:13;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;589;39,3;;0,00%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.400;93,3;1.092;72,8;;8,50%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.844;322,9;4.811;320,7;;6,70%
400121;Miniatura;MEC;196,35136;414;0;(en blanco);41;(en blanco);(en blanco);;;;633;10,6;212;14,1;194;12,9;;7,30%
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;3;0,2;;;;0,00%
400231;Pepito;MEC;160,18779;536;0;(en blanco);3;16/01/2025;324;;;;1.118;18,6;259;17,3;241;16,1;;7,20%
400233;Pepito;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;352;5,9;320;21,3;;;;0,00%
401111;Bocata;MEC;224,45714;683;0;(en blanco);28;15/01/2025;0;;;;3.012;50,2;684;45,6;568;37,9;;8,00%
401113;Bocata;MEC;224,45714;0;0;(en blanco);0;(en blanco);(en blanco);;;;256;4,3;224;14,9;;;;0,00%
401301;Baguette Plus;MEC;160,34482;544;0;(en blanco);58;(en blanco);(en blanco);;;;869;14,5;343;22,9;315;21;;7,30%
401421;Barra Castellana;MEC;137,06227;229;0;(en blanco);0;15/01/2025;7;;;;85;1,4;2;0,1;364;24,3;;0,00%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);0;(en blanco);(en blanco);;;;96;1,6;288;19,2;;;;0,00%
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;;;;0,00%
401881;Bollo;MEC;205,58375;312;0;(en blanco);1;(en blanco);(en blanco);;;;1.826;30,4;182;12,1;434;28,9;;2,80%
402011;Viena Mondat 145 gr;MEC;246,74846;537;0;(en blanco);36;15/01/2025;4;;;;4.686;78,1;1.638;109,2;1.749;116,6;;6,20%
402801;Viena;MEC;224,44444;65;0;(en blanco);0;(en blanco);(en blanco);;;;420;7;94;6,3;346;23,1;;1,80%
403341;Barra de Viena;MEC;242,1118;561;0;(en blanco);35;(en blanco);(en blanco);;;;3.064;51,1;1.630;108,7;1.930;128,7;;5,60%
403801;Mini Viena Andaluza;MEC;205,70099;478;0;(en blanco);27;15/01/2025;51;;;;820;13,7;525;35;617;41,1;;5,70%
404903;Viena 170g;MEC;186,988;87;0;(en blanco);0;(en blanco);(en blanco);;;;65;1,1;96;6,4;;;;0,00%
405121;Miniatura con Salvado;MEC;196,35943;427;0;(en blanco);12;(en blanco);(en blanco);;;;23;0,4;2;0,1;20;1,3;;0,70%
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;8;0,5;1;0,1;;53,30%
406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;619;0;(en blanco);50;(en blanco);(en blanco);;;;682;11,4;709;47,3;753;50,2;;6,30%
406301;Viena Mondat con Salvado 145 gr;MEC;224,3976;742;0;(en blanco);32;16/01/2025;453;;;;2.095;34,9;652;43,5;755;50,3;;5,80%
406401;Viena con Salvado Pequeña;MEC;205,7429;716;0;(en blanco);12;16/01/2025;431;;;;1.499;25;472;31,5;472;31,5;;6,70%
406501;Bollo 100 % Integral;MEC;187,00422;44;0;(en blanco);0;(en blanco);(en blanco);;;;67;1,1;13;0,9;65;4,3;;1,30%
407401;Bollo Rústico Semillado;VIME;130,89849;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;122;8,1;103;6,9;;7,90%
407411;Bollo Rústico Semillado;VIME;130,89596;109;0;(en blanco);14;(en blanco);(en blanco);;;;219;3,7;;;;;;
411001;Chapata Mini;VIME;134,71253;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;119;7,9;71;4,7;;11,20%
421702;Barra de Viena Ecológica Easy;MEC;180,00603;517;0;(en blanco);28;(en blanco);(en blanco);;;;952;15,9;;;;;;
421802;Bollo Ecológico Easy;MEC;163,20404;691;0;(en blanco);0;(en blanco);(en blanco);;;;686;11,4;;;;;;
422002;Barra de Viena 15%  Integral  Ecológico Easy;MEC;179,99915;327;0;(en blanco);28;(en blanco);(en blanco);;;;383;6,4;;;;;;
423111;Panecillo con Cereales y Semillas;VIME;155,78171;450;0;(en blanco);7;(en blanco);(en blanco);;;;740;12,3;;;;;;
423301;Mollete Pack 4 UDS;MEC;167,3356;110;0;(en blanco);0;(en blanco);(en blanco);;;;140;2,3;57;3,8;164;10,9;;2,30%
423321;Mollete;MEC;155,66037;649;0;(en blanco);346;17/01/2025;637;;;;1.994;33,2;347;23,1;290;19,3;;8,00%
423611;Alcachofa Semillada con Sésamo 4,35%;VIME;192,76761;206;0;(en blanco);0;(en blanco);(en blanco);;;;75;1,3;;;;;;
425351;Payesito Mondat;MEC;192,67272;330;0;(en blanco);2;17/01/2025;401;;;;234;3,9;27;1,8;23;1,5;;7,80%
430101;Pan Bocadillo Sin Sal Añadida Easy;MEC;187,00569;56;0;(en blanco);0;(en blanco);(en blanco);;;;112;1,9;;;;;;
430301;Panecillo Semillas Easy;VIME;127,17655;145;0;(en blanco);20;(en blanco);(en blanco);;;;2;0;;;;;;
430401;Mini Panecillo Easy;VIME;134,85559;478;0;(en blanco);1079;(en blanco);(en blanco);;;;3.980;66,3;444;29,6;80;5,3;;37,00%
430621;Pepito Easy;MEC;166,2776;1862;0;(en blanco);578;14/01/2025;274;;;;8.275;137,9;2.802;186,8;2.582;172,1;;7,20%
430702;Panecito Ecológico Easy;MEC;158,42696;1661;0;(en blanco);286;14/01/2025;79;;;;4.096;68,3;2.730;182;3.309;220,6;;5,50%
430731;Panecito Easy;MEC;158,31932;652;0;(en blanco);163;15/01/2025;393;;;;9.897;165;2.075;138,3;2.136;142,4;;6,50%
431610;Bollito 100% Integral Easy Pack 8 unidades;VIME;136,00086;274;0;(en blanco);12;(en blanco);(en blanco);;;;730;12,2;151;10,1;203;13,5;;5,00%
432111;Pepito Sin Sal Añadida Easy;MEC;166,22628;300;0;(en blanco);0;14/01/2025;22;;;;1.584;26,4;370;24,7;706;47,1;;3,50%
432211;Pepito con Salvado Easy;MEC;166,21578;982;0;(en blanco);216;15/01/2025;20;;;;1.889;31,5;954;63,6;802;53,5;;7,90%
432311;Pepito con Salvado Sin Sal Añadida Easy;MEC;166,21039;260;0;(en blanco);0;(en blanco);(en blanco);;;;670;11,2;359;23,9;115;7,7;;20,80%
432421;Bollo Easy;MEC;149,60847;832;0;(en blanco);28;14/01/2025;0;;;;1.399;23,3;643;42,9;653;43,5;;6,60%
432501;Pan Bocadillo con Salvado Easy;MEC;187,00706;0;0;(en blanco);0;(en blanco);(en blanco);;;;101;1,7;;;;;;
432821;Pan Bocadillo Easy;MEC;169,99643;973;0;(en blanco);5;16/01/2025;515;;;;2.191;36,5;323;21,5;875;58,3;;2,50%
432911;Panecito con Salvado Easy;MEC;158,39643;523;0;(en blanco);13;15/01/2025;0;;;;2.773;46,2;609;40,6;630;42;;6,40%
433701;Bollito Easy Pack de 8 Uds;VIME;133,91913;769;0;(en blanco);12;(en blanco);(en blanco);;;;340;5,7;74;4,9;75;5;;6,60%
434011;Panecito Sin Sal Añadida Easy;MEC;158,39017;237;0;(en blanco);0;(en blanco);(en blanco);;;;947;15,8;342;22,8;308;20,5;;7,40%
434111;Panecito con Salvado Sin Sal Añadida Easy;MEC;158,40635;251;0;392;0;(en blanco);(en blanco);;;;396;6,6;168;11,2;;;;0,00%
434201;Viena Easy;MEC;185,45964;1182;0;(en blanco);65;16/01/2025;381;;;;3.203;53,4;628;41,9;697;46,5;;6,00%
434721;Bollito Easy;VIME;134,85559;75;0;(en blanco);2;(en blanco);(en blanco);;;;2.641;44;628;41,9;847;56,5;;4,90%
435711;Rombito Integral 100%;VIME;122,40097;143;0;(en blanco);1;(en blanco);(en blanco);;;;189;3,2;;;;;;
436011;Rombito Rústico;VIME;133,84615;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;8;0,5;;
436701;Mollete Multicereal con Quinoa (3%);MEC;134,87342;275;0;(en blanco);0;17/01/2025;277;;;;38;0,6;;;;;;
438801;Panecillo con Semillas;VIME;138,83391;105;0;140;85;(en blanco);(en blanco);;;;377;6,3;46;3,1;21;1,4;;14,60%
453211;Panecillo 100% Integral;VIME;108,80043;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;3.976;265,1;5.208;347,2;;5,10%
453221;Panecillo 100% Integral;VIME;108,80043;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.620;308;4.480;298,7;;6,90%
453223;Panecillo 100% Integral;VIME;102,00064;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;252;16,8;;;;0,00%
453233;Panecillo 100% Integral;VIME;113,63273;0;0;(en blanco);0;(en blanco);(en blanco);;;;1;0;;;;;;
453241;Panecillo 100% Integral;VIME;113,63273;120;0;(en blanco);0;(en blanco);(en blanco);;;;438;7,3;;;;;;
453243;Panecillo 100% Integral;VIME;123,95874;352;0;525;420;(en blanco);(en blanco);;;;1.150;19,2;;;;;;
453251;Panecillo 100% Integral;VIME;118,69587;616;0;224;504;(en blanco);(en blanco);;;;20.636;343,9;;;;;;
454001;Panecillo 100% Integral;VIME;98,9047;0;0;(en blanco);0;(en blanco);(en blanco);;;;155;2,6;4;0,3;17;1,1;;1,60%
5718540;Panecillo con  Semillas;VIME;138,85714;214;0;224;252;17/01/2025;1701;;;;16.857;281;2.751;183,4;3.026;201,7;;6,10%
5718619;Pulguita;MEC;160,291;245;0;1232;140;16/01/2025;1468;;;;10.612;176,9;4.542;302,8;4.568;304,5;;6,60%
5720811;Baguetina Cereales;VIME;107,09612;118;0;756;28;17/01/2025;904;;;;13.273;221,2;;;;;;
604301;Pepito Easy Pack 5 uds;MEC;166,21437;184;0;(en blanco);0;(en blanco);(en blanco);;;;183;3,1;;;;;;
Total general;;;;;;;;;;;;;136.226;2.270,40;44.765;2.984,30;47.313;3.154,20;;6,30%
