Clasificacion;COD_ART;NOM_ART;COD_GRU;Cj/H;cj/palet
DESCATALOGADO;244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;28
DESCATALOGADO;244721;PETIT D´OR  95 g;MEC;;28
DESCATALOGADO;274756;PAN PEPITO;MEC;160,28813;28
DESCATALOGADO;274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;28
DESCATALOGADO;300600;Pan Castilla Candeal;VIME;85;28
ACTIVO;400121;Miniatura;MEC;196,35136;36
DESCATALOGADO;400221;Pepito;MEC;;28
ACTIVO;400231;Pepito;MEC;160,18779;28
PEDIDO;400233;Pepito;MEC;160,28813;32
DESCATALOGADO;400323;Gourmet;MEC;158;32
DESCATALOGADO;401101;Bocata;MEC;224;28
ACTIVO;401111;Bocata;MEC;224,45714;28
PEDIDO;401113;Bocata;MEC;224,45714;32
ACTIVO;401301;Baguette Plus;MEC;160,34482;28
PEDIDO;401421;Barra Castellana;MEC;137,06227;28
DESCATALOGADO;401621;Media baguette;MEC;;28
PEDIDO;401423;Barra Castellana;MEC;120,91656;32
DESCATALOGADO;401871;Bollo;MEC;182,74111;28
ACTIVO;401881;Bollo;MEC;205,58375;28
DESCATALOGADO;402001;Viena Andaluza;MEC;;28
ACTIVO;402011;Viena Mondat 145 gr;MEC;246,74846;28
PEDIDO;402801;Viena;MEC;224,44444;28
DESCATALOGADO;403321;Barra de Viena;MEC;;28
ACTIVO;403341;Barra de Viena;MEC;242,1118;28
ACTIVO;403801;Mini Viena Andaluza;MEC;205,70099;28
PEDIDO;404903;Viena 170g;MEC;186,988;32
ACTIVO;405121;Miniatura con Salvado;MEC;196,35943;36
DESCATALOGADO;405221;Pepito con Salvado;MEC;;28
ACTIVO;405231;Pepito con Salvado;MEC;160;28
DESCATALOGADO;405621;Media Baguette con Salvado;MEC;138,09507;28
ACTIVO;406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;28
ACTIVO;406301;Viena Mondat con Salvado 145 gr;MEC;224,3976;28
ACTIVO;406401;Viena con Salvado Pequeña;MEC;205,7429;28
DESCATALOGADO;406501;Bollo 100 % Integral;MEC;187,00422;28
DESCATALOGADO;407301;Barra 250g;;;28
DESCATALOGADO;407401;Bollo Rústico Semillado;VIME;130,89849;28
ACTIVO;407411;Bollo Rústico Semillado;VIME;130,89596;28
DESCATALOGADO;411001;Chapata Mini;VIME;134,71253;28
DESCATALOGADO;421331;Mollete Mini;MEC;;28
ACTIVO;421702;Barra de Viena Ecológica Easy;MEC;180,00603;28
NO_PRIORITARIO < 200;421802;Bollo Ecológico Easy;MEC;163,20404;28
ACTIVO;422002;Barra de Viena 15%  Integral  Ecológico Easy;MEC;179,99915;28
ACTIVO;423111;Panecillo con Cereales y Semillas;VIME;155,78171;36
ACTIVO;423301;Mollete Pack 4 UDS;MEC;167,3356;28
ACTIVO;423321;Mollete;MEC;155,66037;28
ACTIVO;423611;Alcachofa Semillada con Sésamo 4,35%;VIME;192,76761;36
DESCATALOGADO;424421;Rosca;;;28
PEDIDO;425201;Baguetina Cereales;VIME;152,99915;28
ACTIVO;425351;Payesito Mondat;MEC;192,67272;36
NO_PRIORITARIO < 200;430101;Pan Bocadillo Sin Sal Añadida Easy;MEC;187,00569;28
PEDIDO;430301;Panecillo Semillas Easy;VIME;127,17655;28
ACTIVO;430401;Mini Panecillo Easy;VIME;134,85559;28
ACTIVO;430621;Pepito Easy;MEC;166,2776;24
ACTIVO;430702;Panecito Ecológico Easy;MEC;158,42696;28
ACTIVO;430731;Panecito Easy;MEC;158,31932;28
ACTIVO;431610;Bollito 100% Integral Easy Pack 8 unidades;VIME;136,00086;28
NO_PRIORITARIO < 200;432111;Pepito Sin Sal Añadida Easy;MEC;166,22628;28
ACTIVO;432211;Pepito con Salvado Easy;MEC;166,21578;24
NO_PRIORITARIO < 200;432311;Pepito con Salvado Sin Sal Añadida Easy;MEC;166,21039;28
ACTIVO;432421;Bollo Easy;MEC;149,60847;28
NO_PRIORITARIO < 200;432501;Pan Bocadillo con Salvado Easy;MEC;187,00706;28
ACTIVO;432821;Pan Bocadillo Easy;MEC;169,99643;28
ACTIVO;432911;Panecito con Salvado Easy;MEC;158,39643;28
ACTIVO;433701;Bollito Easy Pack de 8 Uds;VIME;133,91913;28
NO_PRIORITARIO < 200;434011;Panecito Sin Sal Añadida Easy;MEC;158,39017;28
NO_PRIORITARIO < 200;434111;Panecito con Salvado Sin Sal Añadida Easy;MEC;158,40635;28
ACTIVO;434201;Viena Easy;MEC;185,45964;28
ACTIVO;434721;Bollito Easy;VIME;134,85559;28
ACTIVO;435711;Rombito Integral 100%;VIME;122,40097;36
DESCATALOGADO;436001;Rombito Rústico;VIME;;72
DESCATALOGADO;436011;Rombito Rústico;VIME;133,84615;36
ACTIVO;436701;Mollete Multicereal con Quinoa (3%);MEC;134,87342;28
ACTIVO;438801;Panecillo con Semillas;VIME;138,83391;28
DESCATALOGADO;453201;Panecillo 100% Integral;VIME;;28
DESCATALOGADO;453211;Panecillo 100% Integral;VIME;108,80043;28
DESCATALOGADO;453221;Panecillo 100% Integral;VIME;108,80043;28
DESCATALOGADO;453223;Panecillo 100% Integral;VIME;102,00064;28
DESCATALOGADO;453233;Panecillo 100% Integral;VIME;113,63273;28
DESCATALOGADO;453241;Panecillo 100% Integral;VIME;113,63273;28
ACTIVO;453243;Panecillo 100% Integral;VIME;123,95874;28
ACTIVO;453251;Panecillo 100% Integral;VIME;118,69587;28
DESCATALOGADO;454001;Panecillo 100% Integral;VIME;98,9047;28
ACTIVO;5718540;Panecillo con  Semillas;VIME;138,85714;28
ACTIVO;5718619;Pulguita;MEC;160,291;28
ACTIVO;5720811;Baguetina Cereales;VIME;107,09612;28
ACTIVO;604301;Pepito Easy Pack 5 uds;MEC;166,21437;28
